,HOOD,,,,,,,ADDR,CITY,ZIP,Latitude,Longitude,,,,,,PRICE,,
2,BRONXDALE                ,01  ONE FAMILY DWELLINGS                    ,1,4533,35, ,A1, 2758 FENTON                               ,NYC,10469,40.8670354,-73.8440328,"3,081","1,368",1955,1, A1 ,"$397,500 ",12/29/2015,
2,BRONXDALE                ,01  ONE FAMILY DWELLINGS                    ,1,4533,35, ,A1, 2758 FENTON AVENUE                        ,NYC,10469,40.8670354,-73.8440328,"3,081","1,368",1955,1, A1 ,"$292,032 ",7/9/2015,
2,BRONXDALE                ,01  ONE FAMILY DWELLINGS                    ,1,4533,35, ,A1, 2758 FENTON AVENUE                        ,NYC,10469,40.8670354,-73.8440328,"3,081","1,368",1955,1, A1 ,"$249,000 ",4/28/2015,
2,BRONXDALE                ,01  ONE FAMILY DWELLINGS                    ,1,4535,8, ,A1, 1555 ALLERTON AVENUE                      ,NYC,10469,40.865397,-73.841391,"1,863","1,024",1955,1, A1 ,"$350,000 ",8/24/2015,
2,BRONXDALE                ,01  ONE FAMILY DWELLINGS                    ,1,4536,26, ,A1, 2746 MICKLE AVE                           ,NYC,10469,40.8667157,-73.8404314,"5,469",966,1925,1, A1 ,"$389,000 ",9/28/2015,
2,BRONXDALE                ,01  ONE FAMILY DWELLINGS                    ,1,4543,12, ,A1, 3022 BRONX PARK EAST                      ,NYC,10467,40.8705659,-73.8703674,"1,852","1,140",1930,1, A1 ,"$239,500 ",8/31/2015,
2,BRONXDALE                ,01  ONE FAMILY DWELLINGS                    ,1,4543,12, ,A1, 3022 BRONX PARK EAST                      ,NYC,10467,40.8705659,-73.8703674,"1,852","1,140",1930,1, A1 ,"$463,453 ",2/9/2015,
2,BRONXDALE                ,01  ONE FAMILY DWELLINGS                    ,1,4544,47, ,A1, 3050 BARKER AVENUE                        ,NYC,10467,40.870713,-73.869076,"1,712","1,421",1925,1, A1 ,"$233,520 ",3/24/2015,
2,BRONXDALE                ,01  ONE FAMILY DWELLINGS                    ,1,4547,28, ,A5, 3067 WILLIAMSBRIDGE ROAD                  ,NYC,10467,40.869205,-73.865889,650,864,1920,1, A5 ,"$381,188 ",7/13/2015,
2,BRONXDALE                ,01  ONE FAMILY DWELLINGS                    ,1,4547,49, ,A1, 2917 HOLLAND AVENUE                       ,NYC,10467,40.8684749,-73.865593,"2,458","1,496",1920,1, A1 ,"$247,000 ",11/19/2015,
2,BRONXDALE                ,01  ONE FAMILY DWELLINGS                    ,1,4548,49, ,A5, 2921 WALLACE AVENUE                       ,NYC,10467,40.868553,-73.864647,"1,800","2,014",1950,1, A5 ,"$283,920 ",9/22/2015,
